[-8.59862488 -9.4578464   1.22146518] 0.5448693691436776 2.3028059743909446 0.06495607314265206 -0.34217793197342333 -0.1866598264900448 0.7744041549931413 -0.49836791306669875
[-8.59873128 -9.45795822  1.2214798 ] 0.5448341952901689 2.3027228468890524 0.06496058680232808 -0.3421779376865002 -0.18665913034658768 0.7744041242293697 -0.49836821768187856
[-8.59883768 -9.45807003  1.22149442] 0.5448093927239693 2.3026441750449393 0.064964711465195 -0.34217793091900867 -0.1866584591196663 0.7744040572113025 -0.49836857786755734
[-8.59889174 -9.45812895  1.22150192] 0.5448063473980072 2.3025850068215528 0.06496625840598491 -0.3421779643893755 -0.18665789010739905 0.7744038800109891 -0.4983690433513332
[-8.59894558 -9.45818765  1.2215094 ] 0.5448024030256851 2.3025563952424637 0.06496872927039432 -0.34217802225660066 -0.1866574632255598 0.7744038101921261 -0.4983692719928443
[-8.59899943 -9.45824635  1.22151687] 0.5447974485724278 2.302559465350582 0.06497217081168749 -0.34217810528404036 -0.18665718367449297 0.7744038523883691 -0.49836925412086175
[-8.59905327 -9.45830505  1.22152434] 0.5447896026660111 2.302561792449048 0.06497499992974476 -0.34217814612335484 -0.18665695878212407 0.7744039168817599 -0.49836921009627067
[-8.59897911 -9.45821879  1.22151351] 0.5448233699290933 2.302612312267846 0.06497134274623662 -0.3421783194038799 -0.18665692451142474 0.7744038355359315 -0.4983692303594901
[-8.59890443 -9.45813194  1.2215026 ] 0.5448590605166503 2.3026413459414368 0.06496772578173127 -0.34217847762162884 -0.18665686286199382 0.7744036999127992 -0.49836935555913775
[-8.59882974 -9.4580451   1.22149169] 0.5448965685899733 2.302647853101184 0.06496417683323108 -0.34217861955519047 -0.1866567720643508 0.7744035085553933 -0.4983695894603905
[-8.59875506 -9.45795825  1.22148078] 0.5449185273276373 2.3026474210366645 0.06496017392710873 -0.34217872016955014 -0.18665672055639504 0.7744034087404367 -0.4983696947703108
[-8.598728   -9.45792884  1.22147584] 0.5449178819107409 2.3026248036103008 0.06495800072802216 -0.3421787566081236 -0.18665664737144871 0.7744033811719022 -0.4983697400000273
[-8.5987011  -9.45789963  1.22147093] 0.5449153351330299 2.3026168601308306 0.0649566710025381 -0.3421787940814263 -0.18665669746571747 0.7744033885320133 -0.4983696840722841
[-8.5986742  -9.45787041  1.22146602] 0.5449108715963057 2.302624233865169 0.06495621017304731 -0.3421788328010917 -0.18665687579080303 0.7744034320620766 -0.49836952305831844
[-8.5986473 -9.4578412  1.2214611] 0.5449064227195868 2.3026314173879685 0.06495529847192694 -0.34217884592332193 -0.18665708640834106 0.7744034933808838 -0.49836933988319954
[-8.59865833 -9.45785474  1.2214608 ] 0.5448892923246791 2.3026242279212528 0.06495575443239421 -0.3421788182706495 -0.1866572688877659 0.7744036036168214 -0.49836911923146215
[-8.5986695  -9.45786845  1.22146051] 0.5448706241621245 2.302622548421708 0.0649553934831184 -0.34217879358354475 -0.18665737687660883 0.7744037043548885 -0.4983689392013509
[-8.59868067 -9.45788216  1.22146022] 0.5448504090774537 2.302626659059228 0.06495417639053913 -0.34217877210425235 -0.18665740756097368 0.7744037950432319 -0.49836880153806074
[-8.5986917  -9.45789569  1.22146003] 0.5448694160474832 2.302652985064606 0.0649538313719834 -0.3421788077843081 -0.18665741880652906 0.7744035712724786 -0.4983691205404129
[-8.59868557 -9.45788626  1.22147141] 0.5449098986378517 2.3026956870736877 0.06495783485654338 -0.34217864193088005 -0.18665728790082695 0.7744033178387877 -0.4983696772478479
[-8.59867943 -9.45787684  1.2214828 ] 0.5449527829313354 2.3027154711968247 0.06496103305826928 -0.34217846832580256 -0.18665702458535158 0.7744030078611903 -0.49837037673069257
