Timestamp,X,Y,Z,qx,qy,qz,qw,PDOP,Sats
1690299356,245699.56258470583,5182399.699985371,91.02946528275982,0.0055179561657737195,0.9966341805899936,0.056080093235258845,-0.05953894004925995,2.149,15
1690299357,245700.32401115267,5182398.760248138,90.08297901683825,-0.042813591511006804,-0.062053578691678865,0.7189782009018882,0.6909317595691838,2.149,15
1690299358,245701.07785507463,5182397.861774658,90.09289236272583,-0.02057571976939448,-0.06658761202126415,0.7189248520377834,0.6915849816210068,1.871,14
1690299359,245701.78633125612,5182396.992232417,90.99837799379995,0.005775174852164888,0.9963965583366425,0.05902785943533459,-0.060632150718929786,1.871,16
1690299360,245702.60865352087,5182396.054620487,90.0711777243885,-0.03745540572705301,-0.057359780315898314,0.6944460492974458,0.7162762266047249,2.149,16
1690299361,245703.41344254807,5182395.25543957,90.99316790909525,0.004325326268813546,0.9977844068511239,0.04821959185886784,-0.045633758977136896,1.871,16
1690299362,245704.1961717521,5182394.391089979,91.03782330989917,0.006635098444680852,0.9948231989092429,0.07101414492981566,-0.07238625284194167,1.871,17
1690299363,245704.96350042056,5182393.427066906,91.0065129309154,0.0054909091029567425,0.9961286214751173,0.06088475548571061,-0.06317171791831289,1.465,17
1690299364,245705.67840582618,5182392.517634538,91.04515615897778,0.9925695303363983,0.0080634606519458,-0.08282147137917446,0.08877675331236817,1.465,16
1690299365,245706.3940241376,5182391.517589972,90.03947850371213,-0.04696391987450221,-0.04502251022780251,0.7416726690154256,0.6675994426588024,1.465,16
1690299366,245707.02781246766,5182390.608400166,90.97726758902479,0.006912894342285314,0.9965151651065661,0.05516902654249622,-0.06217809996131313,1.465,17
1690299367,245707.79221568457,5182389.600707483,90.10376313128052,-0.031087007718482523,-0.07872806979610543,0.7203135596229325,0.6884648609773997,1.624,17
1690299368,245708.5661575499,5182388.692823968,90.12450973117909,-0.029369716235774487,-0.07899628351855213,0.704442819590488,0.7047391864270709,1.624,17
1690299369,245709.3166012595,5182387.9004035825,91.01983383774217,0.0028443385746262932,0.9990807054655184,0.030968081205007963,-0.029506467953231818,1.624,17
1690299370,245709.9880666851,5182387.204801227,90.11696355335027,-0.03523825590022285,-0.07317404476028583,0.6892319919097529,0.719974364698247,1.624,17
1690299371,245710.7537578696,5182386.50183959,90.13286666236544,-0.05913196971099478,-0.08204139415766629,0.6781378118340946,0.7279434922874375,1.625,17
1690299372,245711.57270762106,5182385.709078427,90.18107948402279,-0.030335022777971593,-0.07916402829915255,0.6794683917294205,0.7287904689670042,1.625,19
1690299373,245712.3485329121,5182384.884157054,90.17549562864784,-0.038890717066987594,-0.07476415850562985,0.6929435025466931,0.716049673561326,1.346,19
